Görüş,Durum
Ürün daha yeni geldi. 114 GB kapasitesi var. Çok fazla kapasite kaybı. 128 ise 120 gb altına düşmemesi gerekir diye düşünüyorum.,Olumsuz
Fiyatı gerçekten çok pahalı bu piyasa şartlarında,Tarafsız
Hayır mouse ın sağ tıkı çalışmıyor. Berbat bir mağaza.,Olumsuz
Ürünü bir yıldır kullanıyorum. yapılandırması kolay kulanımı basit bir ürün. wi-fi sinyali gayet güçlü fakat internet aktarım kapasitesi oldukça düşük bir ürün. aynı anda bir kaç cihaz bağlandığında 25mb internet 1mb lere kadar düşüyor. beklentisi yüksek olan arkadaşlar almasınlar. hız önemli değil diyenler kullanabilir.,Tarafsız
Hepsi burada ya teşekkürler. Urünüm cabuk geldi. Ambalajlı üründü. Tüm parçaları icindeydi. Mutfakta da çok yer kaplamayan kullanisli bir urun. Tavsiye ederim,Tarafsız
"Sakin almayın şu akıtıyor tabanı yapıştırıyor  
Servisi çözüm bulamadı çok mağdur edildim",Olumlu
süpürgenin sapı çok çürük 10 günde kırılıyor. Çekişi güzel ama sapı ince kırıldı garanti kapsamına da girmiyor diğer firmalar çelik veya sağlam alaşım kullanıyor.,Olumsuz
Çok beğendim,Olumlu
hemen ertesi gün geldi,Olumsuz
"3,5 yıldır kullanıyorum. İlk altı ayında koldan kumanda yerinin pil kısmı yani aynı zamanda tutma kolu oluyor. Kırıldı. Sağa sola çok çarpıyor. Çekim gücü hiç düşmedi. Temizlemesi çok zor değil. Tutma yerini sağlam yapsalar idi 4 yıldız verirdim. Bu modellerin hepsi sağa sola çarpıyor. O sorunda olmasa idi 5 yıldız verirdim.",Tarafsız
İyi hoş güzel fevkalade,Tarafsız
"- Şarj Süresi Çok iyi, yaklaşık 10-12 saat ekran süresi var. Elinizden hiç bırakmadan akşamı edersiniz.- Kameraları vasat (fiyatına göre çok iyi), sürekli flu fotolar çekiyor. Detay kötü.- Ekran dokunmatiği çok kötü. Hangi tuşa bastığınız belli değil, cebinizdeyken kendi kendine tuslara basıyor. Mesaj yazmak tam bir işkence. Dokunmatik ekranda tuşun takılı kaldığını hayatımda ilk kez görüyorum.- Parmak izi okuyucu arkada olduğu için masa üstündeyken mesaj geldiğinde telefonu elinize almak zorundasınız.- Görünüşü şık, ses kalitesi ortalama, ekran parlaklığı ve çözünürüğü iyi.-8 yıllık Note 2'den geçtim ama note-2 daha kaliteli daha iyiydi.Daha kaliteli ekran ve kamera istiyorsanız en az 3-4 bin TL vermeniz gerekiyor. Bu fiyata alınabilecek en iyi telefon.",Olumlu
İlk kez çay makinesi aldım. Kettle olarak da kullanılabilmesi avantaj. Hem altı hem üstü çelik olduğu için kırıldı derdi yok. İnşallah uzun süre kullanılabilir.,Olumlu
paketleme iyi urun orjinal. kargo hizli,Olumlu
İkinci el ürün olduğu belirtilmemiş.Ürünün ikinci el olduğunu bilseydim almazdım.,Olumsuz
Bu üründe x10 yazmasına rağmen aynı markanın 5 db tek antenli ürünüyle daha fazla çekim gücü elde ettim.,Tarafsız
makyajı temizlemekte başarılı. Fakat yüzümde ciddi anlamda yanma yaptı.  Özellikle dudak çevresinde ve dudaklarda.  Hoş bir kokusu var. Tekrar almayı düşünmüyorum .,Tarafsız
Olumlu yönleri: Çok iyi tavsiye ederim aynı özellikteki başka marka elektrik süpürgesi 3.4 katı fiyatına satılıyor çekiş gücü de çok iyi,Olumlu
Ses yüksek ama bu türlerin hepsi böyle emiş mükemmel,Olumlu
Urun yeterli arkadaslar.yalniz burda yorumlarda rastlamadigim bi seyi belirteyim ki buda kamerayi prizde sarj edemiyorsun.cunlu aparati yok.cok ilginc geldi.bilgisayarda ve arabada sarj edebiliyorsun.bilginize...,Tarafsız
"ÜRÜN ARIZALI GELDİ, ZATEN ALMAN MALI KALİTESİNDE DEĞİL, DANDİK BİR ÇİN
MALI GİBİ.",Olumsuz
ürün fiyatına göre iyi fakat çay güzel gelmedi  birde aşırı bir plastik kokusu var,Olumsuz
Olumsuz yönleri: Kardeşim nerelere teslimat yapıyorsunuz belli değil? Adres seçiyoruz teslimat yok? Birde Olumsuz yorum yaptırmıyorsunuz.,Olumsuz
Olumlu yönleri: 1 gunde elime ulaştı annem için aldım yeni süpürmüş olduğu evi philips marathonla süpürdü hazneyi bosaltirken benim eski supurgem supurmuyomus dedi emiş gücü mukemmel memnun kaldik tesekkurler gittigidiyor,Olumlu
Geçen yıl yazlıkta kullanmak için aldım. Ancak bu yıl çırpıcı uçları paslanmış. Şu anda kullanılamaz durumda,Olumsuz
"Okulda kullanmak için aldım. Fiyatı uygun. Kargo bedava olması nedeniyle tercih ettim. Kalem pil ile çalışıyor.
Artıları: Ele oturuşu güzel. 
            Bir çok zeminde problemsiz çalışıyor.
            
Eksileri:Açma-Kapama tuşu yok.",Tarafsız
Ürünü aldığım zamandan itibaren kamera açılma hatası ile karşılaştım yaklaşık 2 hafta kadar sorun çözüldü sandım ama tekrar başladı sorun ve telefon komple kapandı açılmıyor Xiaomi nin güzel cihazı fakat bu sorunu halletmesi gerekiyor.,Olumsuz
"BU KADAR SAÇMA BİR ÖN YÜLMEME BIOS ARAYÜZÜ GÖRÜLMEMİŞTİR BU BİLGİSAYARI
ALANIN WİNDOWS KURABİLMESİ İÇİN 4 YILLIK BİLGİSAYAR MÜHENDİSLİĞİ
BİTİRMESİ GEREKİR KURAMADIM ALLAHIM KAHRETSİN BENDE BU DELL MARKASINI Bİ
ŞEY BELLEMİŞTİM İADE EDİYORUM",Olumsuz
Olumsuz yönleri: Pekbi ise yaramaz cok kucuk hic gorundugu gibi degil,Olumsuz
"Bu ütü masasını çeyizime almıştım.başta devasa bir ütü masası gibi görünsede, kullandıkça o kadar da profesyonel bir masa olmadığını anlıyorsunuz. Geniş yüzeyi rahat ütü yapmaya imkan verse de masanın altında bulunan yaylardan çıt çıt ses gelmekte.ayrıca örtüsü kaliteli değil.benim örtü yandı.ve eğer kazanlı ütü değil de normal bir ütü ile kuvvet uygulayarak çamaşır ütülüyorsanız bilin ki olduğunuz açıdan farklı yerlerde bulabilirsiniz kendinizi.şöyle ki ütü masasının ütü konulan metal yerleri duvarlarımı çizmiş.daha sağlam basanı, ses çıkarmayanı, örtüsü yanmayanı da bu paraya alınabilir sanki. Daha iyi araştırmak lazımdı.",Olumsuz
Çok memnunum kaliteli ve uygun fiyatlı,Olumlu
çok hızlı ve güvenilir bir şekilde teslim edildi . teşekkürler,Olumlu
5 para etmez bir cihaz sürekli dönüyor.kanal geçişlerinde bekliyor.almanızı  tavsiye etmem,Olumsuz
"urunu uzun zamandir kullaniyorum.Cok memnunum.dokunmatigi o kadar iyiki sanki pamuga dokunur gibi yumysacikOurunu ilk aldigimda ekranda bi suru noktalanmalar oldu format attim ana sorun surekli devam etti.servise gonderdim.aba kartinda sorun varmis, hemen degistirdilerO gundur bu  gundur 2 yildir sorunsuzca kullaniyorum.Bu arada samsung servis hizmeti mukemmel.hic dusunmeden alin",Tarafsız
"ürün paketi yırtık ve delikti taşırken yırtılmış gibiydi ama içindeki
üründe sorun yok gibiydi, poşetleri açılmamıştı. ürün kaliteli ve sağlam
gibi plastiği ve demiri güzeldi",Olumlu
"Öncelikle ürün kaliteli hissi vermiyor. Kumandası çalışıyor. Sol kulaklık bariz daha az ses veriyor. Sağ kulaklık daha yüksek ses veriyor ancak o da yetersiz diyebilirim. Ses kalitesi 10 TL lik kulaklık gibi değil daha iyi, maksimum 20 TL lik kalitesindedir.Huwaei olmadığı çok kesin ve çakma bir ürün.GSM Center a hakkımı helal etmiyorum.",Olumsuz
"bir tek kabloları eski sistem acaba hemen değişmek lazım mı bilemedim.
yumuşak eski tip kablolardan",Olumlu
Göründüğü gibi guzel fiyata gore cok iyi yanliz sessiz bi makine değıl kargo ve samsung servis cok iyi sorun yaşamadım tavsiye ederim,Olumlu
üründe açma kapama düğmesi yok,Tarafsız
bu ekranı iki kez satın aldım. ilk ekranda iki adet ölü piksel vardı .bunu iade ettim yenisini sipariş ettim dün elime ulaştı. ikinci gelen monitörde de bir adet ölü piksel var ama daha da kötüsü ekran paneli dokunduğunuz an oynuyor ve ses çıkarıyor boşluğundan dolayı. şüphelendim arkasındaki vidaları kontrol ettim bir vida işlem görmüş bariz bir şekilde. ikinci gelen bu ekran beni ciddi derecede rahatsız etti ekran siyahken oluşan bulutlanma inanılmaz itici. şimdi bu ekranı da iade edeceğim ve stokta son kalan aynı ürünü sipariş edeceğim. bakalım amazzondan 3. kez aldığım ürün TEMİZ SIFIR VE SIKINTISIZ çıkacak mı???  zaten yapacağım yorumla sizlerde buna şahit olacaksınız...,Olumsuz
Beğendik ama alt kısmında bi yerinde göçük var olarak geldi.,Olumlu
"Önceki ütüm de Philipsti. Memnun kaldığım için başka marka bakmadım, ürün gayet güzel, ihtiyacı karşılıyor, hiç öyle 1000 liralar vermeye gerek yok. Sadece plastik sapından bazen ses geliyor onun dışında sıkıntı yok.",Olumlu
kesinlikle tavsiye etmem ilk günden daha çekmiyor.,Olumsuz
ürünü bir seneyi geçiktir kullanıyorum bi yanlışını görmedim çok kaliteli bir ürün ben aldıgımda 1200 civarindaydı şimdiki fiyatına görede çok iyi özellikleri almak isteyene tavsiye ederim bende tavsiye üzerine almıştım ve memnunum...,Olumlu
hızlı ürün kargo iyiydi ve icinden çıkan urun sabibinin ismi yazili not ile beraber her şey guzel ayarlanmis urun kullanisli kumandasi ise acip kapama derdinden kurtariyor tesekkurler :),Tarafsız
"Merhaba
aynı anda iki tepsiyi birden kullanamıyorsunuz.
Birinin üstü pişiyor diğerinin altı.
Tek tepsiyle idare ederim diyenler alsın",Tarafsız
"Eski tost makinemiz 15 yıllık, döküm kısımları çizikler içindeydi. Daha sağlıklı olduğu için granite geçmek istedik. Araştırıp bu ürüne ulaştım. Düşündüğümden hafif bir ürün. 6 adet tost ekmeği alıyor. Izgara olabiliyor, denemedik. Tostlar başarılı, problem yok.",Olumlu
"Korynaklı yollamış ürün ortalama işte parasıyla aynı değere gelebilir...
F/p denilebilir fiyatı artmafıkça  almak için uygun bir ürün",Tarafsız
"Eğer kaliteli bir ses istiyorsanız yanlış ürüne bakıyorsunuz. Örneğin
şuan piyasada olmayan logitech s220 nin çok gerisinde",Tarafsız
Ufak tefek tamiratlar için fena değil. Kullanışlı,Tarafsız
"Ocağı kapalı kutu sıfır aldım açtığımda gözlerin yanındaki vida yerlerinin yanlarında boyalar bir kaç yerde kabarmış ürünü aldığım mağazaya gittim istediğin yere şikayet et dediler servisin işi o dediler verdiğim parayı helâl etmiyorum.hiç beğenmedim, çok kötü",Olumsuz
Ürün güzel fakat bir de zamanında gelmiş olsaymış iyi olacakmış,Olumsuz
Anneme hediye aldım.  Kullanım ömrü 1 yıl. Ona gore alın. Metal teli kuflendi ve kırıldı. 10 dk kadar çalıştığında inanılmaz ısınıyor. Cirpicinin boyu kisa. Miktar olarak fazla seyleri cirpmak isterseniz gidanin icine giriyor cihaz. Biraz daha fazla para vererek daha iyi seyler alınabilir.,Olumsuz
"Ürün güzel. Fiyatına göre özellikleri çok iyi. Garanti konusunda risk aldım, umarım üzmez... İki yıldız düşük puan vermemin sebebi ise aras kargonun amatörlüğü. Lütfen insanlara eziyet çektirmeyin, başka firma ile çalışın.",Tarafsız
süper harika bir ürün,Olumlu
Faturasız geldi.....,Olumsuz
cekim gucu felan iyi ama cok gurultulu,Tarafsız
"yorumlara bakarak aldık 
2 metreden cekmıyor
hele telefon la baglanmak ıstersenız hıc algılamıyor",Olumsuz
"ürünü sipariş ettikten sonra,istanbuldan kastamonuya 2gün içersinde teslim edildi .siteye tşk ederim
 ürün bambaşka.gerçekten kaplosuz sinyal yayma güçü cok yüksek..çıkış gücü yüksek. bu router tavsiye ederim.saygılarımla",Tarafsız
"Devir daim pompası eski bir teknoloji ürünü sanırım ev içinde ise sesten uykularınız kaçabilir. 
Ancak ısıtma ve fiyat performans açısından termostat ile kombine edildiğinde işinizi fazlası ile görür.  He ben şuanki bilgi birikimim ile DD alır mıyım ? Almam. Almanlara yönelirim açıkçası",Tarafsız
bugün aldım ben eve gelmeden servis getirdi kurdu 227lt  2.500.tl ye  çalışıyo  7 yıl garanti iyi şimdilik memnunum  kurban da  dolabı  çalıştıran  denemesi yapıldı  super,Olumsuz
copppp kesinlikle almayinnn,Olumsuz
"6 aydır kullanmaktayim. Fiyat performans olarak güzel bir ürün, ancak çok ses çıkartıyor. Sanki içinde su kaynıyor gibi ses var. Soğutma olarak vs memnunuz.",Tarafsız
"King keyifle kullanılacak çok güzel bir ürün yapmış.Fakat ürüne 4 yıl garanti vermiş olmasına rağmen sözünü yerine getirmiyor. Ben ürünü 3 yıl kadar kullandıktan sonra servise götürdüm. Değiştireceğiz dediler ve ürünü aldılar. 10 gün kadar sonra aradılar ben,ürünün birebir değişmiş olduğunu düşünerek paketi alıp eve getirdim. paketi açtığım da parlatılmış teneke tadında,şeklide farklı olan bir ürünle karşılaştım.King müşteri hizmetlerine mesaj gönderdim, ben bu ürünü istemiyorum diye. Benim aldığım ürünü tekrar servise bırakmamı istediler.Haliyle ben yine ürünün birebir değiştirileceğini beklerken bu sefer şekli aynı kalite son derece vasat ve mor renkli boyalı bir ürün geldi. Tekrar uğraşmak istemedim bozuluncaya kadar kullanayım dedim. Ürünün demliğini bulaşık makinasına attım. Yer yer boyaları döküldü.Anlayacağınız king markasının vermiş olduğu 4 yıl garantinin hiç bir anlamı yok. Sadece pazarlama taktiği.Ürünü alırken bozulunca atmak üzere alın derim. Ben bir daha king marka bir ürün kullanmam.",Olumsuz
Ürün fiyatına göre gerçekten iyi anneme aldım çok memnun olduğunu söyledi. Fiyatına göre gayet iyi.,Olumlu
Yaklaşık 3 yıl önce kızım için almıştım hiç bir problem yaşamadı ve çok memnun kaldı. Benim de yaklaşık 4 ay önce telefon ihtiyacım olduğunda telefon araştırdım ve aynı özelliklerde ikinci el telefon fiyatına sıfır telefon almış oldum. Şimdiye kadar da hiç bir problem yaşamadım. Fiyat-Performans olarak rahatlıkla tercih edilecek ve alınacak bir telefon.,Olumlu
Olumlu yönleri: Süpürgenin etiketinde  Fransa üretimi olduğu görülüyor. Zaten ilk bakışta Avrupa kalitesi kendini gösteriyor. Çekiş gücü gayet iyi,Olumlu
daha önce  kull.buharli ütü altından şu alışmaya  başlandı onun için bu utuyu tercih ettik inşallah iyidir.,Olumlu
"Ürün kalitesi logitech neticede,, kullanışlı ve ergonomik. Usb alıcısını büyüklüğü dışında bi sorun görmüyorum. Benim ürünüm arada bir klavye ve mouse ta takılmakta yaşamakta, bir süre deneyip göreceğim.",Tarafsız
Üründe cızırtı ve bağlantıda kopma vardı. amazzon dan sorgusuz değiştirdiler. Çok teşekkür ederim,Tarafsız
Beğenerek almıştım fakat kargolama berbat tı ütünün kendi kutusunu streç filme sarıp göndermişler ütünün yanında ollan su kabını bile göndermemişler hemen iade ettim,Olumsuz
"urun geldikten sonra 2 saat icinde kuruluma geldi servis ilgi alaka
gayet guzeldi teşekkür ediyorum. tavsiye ederim alacaklara not:ben
aldiktan sonra 30 tl fiyat cekildi",Olumlu
"Ses düzeyi yeterli değil,çok düşük...",Olumsuz
"Ürünün kullanımı konusunda herhangi bir problem ve sıkıntı yaşamadım ancak bunun dışında iki konuyu belirtmek isterim.
1.Fotoğrafta çırpma aparatları aynı renkli olduğu halde bana farklı farklı rente göndermişler.Yanılmıyorsam çırpıcının birini başka renkte mikserden alıp içine atmışlar.
2.Mikseri kontrol ettikten sonra kutuya koymuşlar.Pardon depmişler.Paketleyen eleman kontrol ettikten sonra tekrar poşetleme ve kutuyu nizami biçimde kapatma ihtiyacı hissetmeden gelişigüzel koymak suretiyle paketleyip göndermiş.Bunda ne var derseniz neticede elektrikli eşya km lerce yol geliyor.Kaç el değiştiriyor.Yolda kırılsa yine siz uğraşmak zorunda kalırsınız.",Tarafsız
Çok kötü. Hiç şarz yok. Kalitesiz. Kullanamadık,Olumsuz
Arkadaşlar ben müzik dinlemek için aldım hoparlör sağlam çalışıyor ama kulaklık girişine kulaklığa takınca müzik boğuk geliyor.......  :(👎👎👎,Olumsuz
"Olumlu yönleri: Bu 2.Huawei telefonumuz oldu. ,Performans açısından bu fiyata gayet yeterli. Pil ömrü çok iyi. Telefon çok akıcı. Ayrıca ekran gövde oranı çok yerinde. İşlemci, ram, rom olaylarına değinmiyorum çünkü 2300TL lik bir telefona göre çok ama çok iyi. Bugüne kadar sadece samsung kullanan eşim kısa sürede alıştı. Kesinlikle tavsiye ederim.",Olumlu
"-Ürün güzel 
cezve geniş ve büyük.
eksi yönleri cezve Elektrik soketi tapası yok.tehlike arz ediyor.
yıkadıktan sonra iyi kurulamak lazım. 
renk olarak beyaz şipariş ettim.
gelen sedefli beyaz diğer takımların yanında sırıtıyor.
kargo 3 gün geçikti bana yakın olduğu için ben aldım.",Tarafsız
"Anlatılmaz yaşanır,mükemmel.",Olumlu
Daha önce kullandığım için tercih ettim. güzel ve kullanışlı bir ürün.,Olumlu
"eski bir cx300 kullanıcısı olarak bu fiyata beklentim daha fazlaydı
açıkçası. kötü değil nerden baktığınıza bağlı.tizler fazla ve basslar
doygun değil maalesef",Tarafsız
ürün gayet güzel ütülüyor fakat amazzonun iade bir ürünü gönderdiğini düşünüyorum. etiketleri üzerinde idi ama poşeti düğüm atılmış şeklinde idi. ayrıca kireç temizleme bölümünü açtığımda az miktarda su aktı. düzgün çalıştığı için değiştirmek prosedürleri ile uğraşmak istemedim. umarım ilerleyen zamanlarda bir sorunu çıkmaz.,Tarafsız
"Sorularımız yanıtlanmıyor bilgi alamıyoruz 2 gün 1 gün bekleyen sorular
var biraz daha önem !",Olumsuz
tost makinasını beğendim kullanışlı fakat açma kapama düğmesi arıza yaptı şuanda yapıldı inşallah bidaha arıza çıkmaz,Olumlu
Yorumlara bakınca güzel seyleri görmek güzel daha kullanmadım ama ürünün gelmesi 25 günü buldu,Tarafsız
kullanişlı,Tarafsız
"Özenle paketlenmiş olması ,yanında gönderilen numuneler  beni çok mutlu etti Teşekkürler ??",Tarafsız
urun cok kalitesiz kablosu cok kisa ve ses seviyesi maalesef cook yetersiz,Olumsuz
kurumuş gibi resmen hiç memnun kalmadım,Olumsuz
İdare eder,Olumlu
Ilk kullanmada alerji yaptı.iade etmeye çalışıyorum.,Olumsuz
satıcı 0 cihazımı servise vermemi istedi,Olumsuz
başını yerleştirmesi çok zor. Yani daha pratik bir rondo ariyorum.,Tarafsız
Beklediğimiz gibi,Olumlu
"başka markaya bakmaya gerek yok, yapılan yorumlar doğru",Olumlu
Sürekli olarak diplineer kullanıyorum ancak bu ürünün fırçasında bir sorun var. koyu bir şekilde boyamıyor.Kargo çok hızlı geldi. Teşekkürler,Tarafsız
"Daha önce İzmir de bazı eşyalar almıştım, Kargo beni ikrah etmişti. Bu sefer şaşırttı, Teşekkür ederim.",Olumlu
"Güçlü olabilir ama tasarım konusunda çok eksikleri var. Ürün elime geçip incelediğimde açıkçası ben daha iyisi tasarlarım diye içimden geçirmedim değil...! 

En basit Örnek : Üst bıçak çıkabiliyor. Ama sonuç olarak yük daima alt bıçakta olacak bunun için zaman ile  keskinliğini kaybetme durumunda alt bıçak ile üst bıçak yer değiştirilebilir ama mümkün değil çünkü alt bıçak sabit.
 Altta kaymaması için konulan lastik conta var. O kadar basit ve ucuz duruyor ki 100 tl lik ürünler de aynı conta var. Ama bu ürün fiyat olarak 2.5 katı daha pahalı bunun için biraz daha detay beklemek yanlış olmuyor. 
 Sonuç olarak alt tarafı ev için doğrayaçı tasarlıyorsun be kardeşim. Az daha kafayı yorsan da biz tüketicilerin hayatını kolaylaştırsan,etkileyici tasarımlar ile fark yaratsan, bizi şaşırtsan ne olurdu :)))",Tarafsız
elimde ürün yok daha bekliyorum bir daha trndyol dan alışveriş yaparsam 2 .olsun,Olumsuz
"Ocak ve davlumbaz olarak satın aldım fakat parmak izi sorunu yaşıyorum
çıkmıyorda hiç birşey anlamadım asla tavsiye etmiyorum 👎🏻",Olumsuz
Ürünü beğendim ama teslimatı beğenmedim,Olumsuz
Bıçağı çok güçlü ve kaliteli bir ürün çok beğendim tavsiye ederim,Olumlu
İş görüyor. Bu fiyata alınabilecek bir ürün,Tarafsız
Evet kesinlikle çok güzel paslanmaz,Olumlu
ÜRÜN FENA DEĞİL.BİRAZ AĞIR GİBİ AMA.,Olumlu
üründe plastik kokusu var birde lambaları kendi kendine  kapanıyor,Olumsuz
çok beğenerek kullanıyorum çekim gücü harika ve çeşitli başlıklarla kullanım kolaylığı var.. sürekli temizliğine dikkat ettikten sonra hiç boşuna kötü yorum yapmayın bence...,Olumlu
Telefon güzel gibi bir haftadır kullanıyorum şarjı 2 gün gidiyor ancak donma gibi sorun yaşadım bir kaç defa kilit ekranında yazılar beyazken bazen gri oluyor,Tarafsız
Ürünün açıklamalarında hafızası neden belirtilmiyor ?,Olumsuz
"ÜRÜN GÜZEL EMİŞİ DE GÜZEL FAKAT O KADAR ÇOK YÜKSEK SESİ VAR Kİ AÇTIKTAN
SONRA SESTEN DOLAYI HEMEN KAPATMAK İSTİYORSUNUZ SESŞN HARİCİNDE BAŞKA
BİR SIKINTISI YOK",Olumlu
Ürün 3 gün içinde elime ulaştı fakat hatalı ürün geldi,Olumsuz
Bu fiyata alınabilecek güzel bir ürün,Olumlu
Süpürmenin yorgunluğu en çok süpürgenin ağırlığından olduğundan hafif bir ürün tercih ettim. Emiş gücü oldukça kuvvetli. Halıda hiç zorluk çıkarmıyor. Aynı zamanda diğer başlığı parke zeminlere de zarar vermiyor. Kablosu oldukça uzun ve her odada çıkarıp takmak zorunda kalmıyorum.,Olumlu
Cok tatli be kullanisli rengine bayildim,Olumlu
harika!,Olumlu
Sipariş verirken çekimserdim ancak gayet özenli paketlenmiş ve güzel çalışıyor çeyizimde yerini aldı.,Olumlu
Bayıldım rengi de performansı da harika😊,Olumlu
Yerine taktığım harddiskten daha sesli çalışıyor. 1TB disk yetmediği için yerine bunu taktım 1TB yı kutu alıp taşınabilir yaptım. Bilgisayarım artık daha sesli. Rahatsız eden bir ses değil ancak fark ediliyor.,Olumsuz
"Renklerinden memnun değilim, hazır profillerde çok parlak genel olarak ve oyun modları çok alakasız isimlendirilmiş, ayarlarda yazan oyun modu ekranı ile oyunun alakası olmuyor çoğu zaman, FPS oyunlarını genellikle Siname yada manzara modunda oynuyorum.",Tarafsız
Çok guzel çok pratik,Olumlu
Ürün gelmediği için yorum yapamıyorum.,Olumsuz
Çok güzel ve kullanışlı olmasınin yani sira tasarımı da güzel. Otomatik termostat olması ve kettle olarak da kullanmak ayrıcalik katiyor.,Olumlu
"Mağaza güvenilir kargolama iyi  paket özenli hızlı kargo dün verdim
sipariş bugün elimde oldu",Olumlu
"genel olarak basarili, ust demlikten buharla birlikte cayi koyarken su damlatiyor zaman zaman da cay damlatiyor, demligi büyük, inoksu kaliteli, kapak biraz daha kaliteli olabilirdi, şık ve konuşmasi cok guzel bir ozellik👍",Olumlu
Görseli güzel şık duruyor ama motor sesi yüksek her kademede aynı gürültü. Sanki kademeler arasında fark yok gibi.,Tarafsız
"Mağaza çok ilgili. Kargolama yaptık bir sorun olursa bu numaradan
ulaşabilirsiniz diye aradılar. Sorunsuz alışveriş çok teşekkür ederim",Olumlu
"bana gelen ürünün montajı kötü yapılmış, azcık arastırınca zaten baya böyle ürünleri oldugunu görebilirsiniz.İade edebilirsem farklı bir marka alıcam.",Olumsuz
hiçbir sıkıntısı yok çok güzel ama çok küçük normal bir flash ın yarısı kadar,Tarafsız
7 aydır kullanmaktayım fiyat performans ürünü memnunum,Olumlu
10 gündür kullanıyorum ama sivilceler üzerine hiçbir etkisini göremedim.Kesinlikle tavsiye etmiyorum.Fiyatı ucuz gibi görünüyor fakat etkisi düşünüldüğünde çok pahalıya gelen bir krem.,Olumsuz
Sarj adaptörü belirtildiği gibi içinden çıkmıyor.,Olumsuz
Çok memnun kaldım güzel ve pratik,Olumlu
Alışveriş yapılabilir,Tarafsız
"Yazlık için 1 ay önce aldım yıkaması güzel, malzemesi (tambur vs...) kaliteli hissi veriyor. Kısa programları işe yarıyor. Kullanması kolay. Ancak apartmanlarda geç saatte kullanamazsınız. Su alırken çok ses çıkarıyor, yıkarken çalkalama sesi çok fazla,sıkarken evde pist var uçak iniyor gibi. Arçelik'in 20 yıl önceki makineleri bundan sessizdi. İstanbul'da alman üretimi Bosch kullanıyorum, gece yarısı bile çalıştırıp yatabiliyorum. Ayrıca suyu Arçelik'e göre daha az kullanıyor. 
Yazlık olduğu için sesli çalışması problem teşkil etmiyor ama alacak olanlar dikkat etsin...",Tarafsız
Beğendim kaliteli,Olumlu
"dıyecek bırsey yak bu supurge tam anlamıyla super bır yıldan berı kullanıyor esım cok memnun hepsi burada com a tesekkurler
alacaklara tavsıye ederım",Olumlu
bizde aynısı var migrostan almıştık sanırım çok kullanışlı severek kullanıyorum,Olumlu
Ürünü yeni aldık ama 10 saniyede bir termostat atıyor.Çok geç ve kalitesiz pişiriyor.Aldığımız yere götürdük birkaç gün sonra yenisiyle değiştirdiler ama o da aynı maalesef.Heralde çalışma prensibi bu !?,Tarafsız
yaklaşımları iyi ürün kötü,Olumsuz
ürün elime yeni ulaştı ve ürünün ayağı yok satıcı firmada da ayağı yok her neyse baska yerden ayak aldım ufuyla gelen civatadan biri tutmadı ve içinde yedek te yoktu bu yüzden soğukta kalmaya devam ediyorum,Tarafsız
"Bandrolü açılmış bir ütün geldi. En iyi ihtimalle iade bir ürün aldım.
Ürünü hediye olarak aldığım için bu şekliyle veremeyeceğim. Çünkü
kullanılmış bir saati hediye ettiğim düşünülecek. Bu nedenle kızıma
vermeyi düşünüyorum. Umarım saat düzgün bir şekilde çalışacak? Bu
mağazadan bir daha alış veriş yapmayacağım gibi kimseye de tavsiye etmiyorum.",Olumsuz
Güzel ama istediğim renk gelmedi,Tarafsız
Teşekkür ederim üründe alışverişte sorunsuz.,Olumlu
Olumlu yönleri: Supurge cok guzel Turbo Brush baslik sayesinde halidan baya toz cikardi.Sesi cok az ikizlerim korkmadi.Bugune kadar kullandigimiz supurgelerden gayet basarili bir urun.Alacak olanlara tavsiye ederim.Esim supurgeyi begendi.,Olumlu
Harika bir ürün,Olumlu
"bu fiyat aralığında güvenle alınacak bir ürün, kalitesi plastiği gayet iyi birkaç su ısıtmadan sonra kokusu da gidiyor.",Olumlu
Kendim kullanıyorum anneme de hediye aldımm. Kalabalık misafir olunca hayat kurtarıyor,Olumlu
Evideanın paketlemesi her zaman süper. Artık kahve keyfimiz bol köpüklü,Olumlu
"ürünün saci ince.kaporta zayıf.montajini yaparken elinizde kalır.surgulu
kısmı çalışma prensibi bozuk.orrada yarı açık konumda kapanıyor sona
dayayinca çalışıyor. gidin başka bir şey alın.",Olumsuz
yüz makyajını silerken iyi de iş gözlere geldimi o kadar da etkili değil.  defalarca silmeme rağmen yinede tamamen çıkarmıyor göz makyajını,Tarafsız
